stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MO,Empire District Elec Co Energy Ctr,6223,4B,,2021,2455,2121.39,34947.77,,0.251,0.0016,24972.315,0.0609,18.006,0.0953,407851.499,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
TX,Roland C. Dansby Power Plant,6243,1,,2021,7969,7961.74,146911.71,,0.548,0.001,108536.336,0.0594,64.642,0.0715,1826232.588,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,Overfire Air,,,"ARP, CSOSG2"
TX,Roland C. Dansby Power Plant,6243,2,,2021,942,785.7,33556.07,,0.098,0.001,19415.054,0.0592,2.433,0.0219,326727.796,Pipeline Natural Gas,,Combustion turbine,,"Water Injection,Selective Catalytic Reduction",,,"ARP, CSOSG2"
TX,Roland C. Dansby Power Plant,6243,3,,2021,1024,845.84,37819.72,,0.11,0.001,21835.033,0.0592,3.977,0.0299,367400.111,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,"Water Injection,Selective Catalytic Reduction",,,"ARP, CSOSG2"
WI,Germantown Power Plant,6253,**5,,2021,389,317.46,17768.23,,0.146,0.0016,14211.865,0.0609,4.378,0.038,233350.961,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P30,,2021,141,114.43,,,0.938,0.05,3010.5,0.081,22.316,1.2,37191.4,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P31,,2021,141,114.43,,,0.938,0.05,3010.5,0.081,22.316,1.2,37191.4,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P32,,2021,116,94.5,,,0.775,0.05,2486.2,0.081,18.429,1.2,30713.8,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P33,,2021,66,51.5,,,0.422,0.05,1355.1,0.081,10.043,1.2,16738.3,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P34,,2021,133,104.75,,,0.859,0.05,2756.1,0.081,20.428,1.2,34045.4,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P35,,2021,133,104.75,,,0.859,0.05,2756.1,0.081,20.428,1.2,34045.4,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P36,,2021,129,102.5,,,0.841,0.05,2696.9,0.081,19.989,1.2,33314.0,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
WI,Germantown Power Plant,6253,P37,,2021,125,99.5,,,0.816,0.05,2618.0,0.081,19.404,1.2,32338.9,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
IA,Ottumwa,6254,1,,2021,7717,7701.66,4497139.03,,1506.655,0.0651,4898880.155,0.1046,1458.663,0.0637,46719712.205,Coal,,Tangentially-fired,Dry Lime FGD,"Low NOx Burner Technology w/ Separated OFA,Selective Catalytic Reduction","Other,Baghouse,Electrostatic Precipitator",Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
WV,Mountaineer (1301),6264,1,,2021,6236,6231.4,7721795.74,,3117.566,0.0852,7348932.999,0.103,2903.939,0.0836,71627022.882,Coal,,Dry bottom wall-fired boiler,Wet Limestone,"Low NOx Burner Technology (Dry Bottom only),Selective Catalytic Reduction",Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IA,Dayton Avenue Substation,6463,GT2,,2021,29,20.88,413.9,,0.116,0.0488,374.0,0.0774,0.675,0.4635,4617.9,Diesel Oil,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
KY,R D Green,6639,G1,,2021,6770,6750.31,1468766.61,,1419.633,0.1837,1542829.585,0.103,1237.745,0.1676,15037381.812,Coal,,Dry bottom wall-fired boiler,Wet Lime FGD,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
KY,R D Green,6639,G2,,2021,5835,5814.8,1189256.78,,1312.273,0.2059,1277405.188,0.103,1320.797,0.2123,12450344.294,Coal,,Dry bottom wall-fired boiler,Wet Lime FGD,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
AR,Independence,6641,1,,2021,4358,4350.55,2652326.92,,6641.76,0.4528,2995471.273,0.1045,2097.354,0.149,28568116.827,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2,,2021,3427,3419.98,1689722.39,,4400.063,0.4672,1931432.792,0.1046,1434.605,0.1615,18421912.051,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
MO,Mexico,6650,CT01,,2021,50,40.63,1820.66,,9.051,0.5,,,21.721,1.2,36201.8,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
MO,Moberly,6651,CT01,,2021,64,52.88,2504.55,,11.779,0.5,,,28.27,1.2001,47116.1,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
MO,Moreau,6652,CT01,,2021,88,78.85,4668.33,,17.564,0.5,,,42.153,1.2,70255.3,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G1"
IA,Louisa,6664,101,,2021,7153,7122.23,4676106.67,,6722.409,0.3602,4497682.816,0.1047,3699.849,0.1704,42884099.83,Coal,,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air,Baghouse,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
IN,Alcoa Allowance Management Inc,6705,4,,2021,7166,7133.43,1944674.24,,535.816,0.0541,1994128.734,0.103,2433.154,0.249,19436002.555,Coal,,Cell burner boiler,Wet Lime FGD,"Low NOx Cell Burner,Selective Catalytic Reduction",Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
MO,Sikeston,6768,1,,2021,7750,7737.17,1861268.57,,4799.248,0.5032,1989564.402,0.105,1084.381,0.1141,18969940.319,Coal,Other Oil,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,"Additives to Enhance PAC and Existing Equipment Performance,Untreated PAC Sorbent Injection","ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
OK,Hugo,6772,1,,2021,3301,3265.63,891412.1,,2427.039,0.5762,1111872.657,0.1016,957.36,0.1729,10853708.109,Coal,Diesel Oil,Dry bottom wall-fired boiler,,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
NJ,West Station,6776,002001,,2021,30,12.85,229.55,,0.005,0.0013,348.8,0.076,0.418,0.7419,4308.8,Diesel Oil,,Combustion turbine,,"Water Injection,Selective Catalytic Reduction",,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
KY,D B Wilson,6823,W1,,2021,8028,8007.79,3296345.02,,7157.087,0.4039,3553883.869,0.103,1761.908,0.1016,34638231.523,Coal,,Dry bottom wall-fired boiler,Wet Limestone,"Selective Catalytic Reduction,Low NOx Burner Technology (Dry Bottom only)",Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
KS,East 12th Street,7013,4,,2021,136,136.0,2180.0,,0.007,0.0009,1165.1,0.059,2.767,0.28,19751.8,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
TX,Twin Oaks,7030,U1,,2021,7245,7241.83,1209433.0,,1136.873,0.1695,1441850.7,0.109,970.623,0.1474,13243929.866,Coal,,Circulating fluidized bed boiler,Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSOSG2, MATS"
TX,Twin Oaks,7030,U2,,2021,8527,8526.53,1440348.52,,1209.405,0.1714,1538510.22,0.109,1022.236,0.1462,14131758.6,Coal,,Circulating fluidized bed boiler,Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSOSG2, MATS"
VA,Gravel Neck Combustion Turbine,7032,3,CP0,2021,269,225.99,12491.74,,2.271,0.033,10633.0,0.0625,14.223,0.2584,172035.4,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Gravel Neck Combustion Turbine,7032,4,CP0,2021,55,43.69,2299.45,,1.28,0.1055,2168.7,0.0687,3.113,0.4112,32073.9,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Gravel Neck Combustion Turbine,7032,5,CP0,2021,156,136.97,7377.85,,1.944,0.0459,6440.1,0.0638,8.631,0.2468,102061.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Gravel Neck Combustion Turbine,7032,6,CP0,2021,53,40.9,2007.81,,2.272,0.1488,2145.1,0.0739,3.142,0.3528,27987.3,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
AL,McIntosh (7063),7063,**1,,2021,609,428.58,23154.53,,0.033,0.0009,6440.168,0.0617,12.19,0.1989,108386.812,Pipeline Natural Gas,,Other turbine,,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,McIntosh (7063),7063,**2,,2021,773,656.93,51925.16,,0.196,0.001,37919.902,0.0593,22.122,0.1059,637434.308,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,McIntosh (7063),7063,**3,,2021,835,713.27,56707.69,,0.217,0.001,42283.1,0.0591,21.696,0.092,711019.902,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,McIntosh (7063),7063,**4,,2021,1705,1544.12,230877.08,,0.727,0.001,143915.085,0.059,44.263,0.0422,2421624.198,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,McIntosh (7063),7063,**5,,2021,1747,1588.56,243409.49,,0.766,0.001,151772.022,0.059,48.632,0.0442,2553877.869,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
TX,J K Spruce,7097,**1,,2021,6634,6616.67,2534955.48,,585.84,0.1063,2868250.053,0.1021,1888.678,0.1359,27955699.532,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Baghouse,,"ARP, CSOSG2, MATS"
TX,J K Spruce,7097,**2,,2021,8227,8215.86,5208765.48,,370.5,0.0274,5900324.795,0.1028,1234.14,0.0421,57508067.306,Coal,,Tangentially-fired,Wet Limestone,Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
NJ,Forked River Power,7138,002001,CPFG01,2021,176,143.24,4184.76,,0.078,0.0021,3346.2,0.0584,5.018,0.3129,55830.0,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
NJ,Forked River Power,7138,003001,CPFG01,2021,192,156.88,4794.2,,0.025,0.0015,3739.8,0.0594,4.847,0.2903,63310.8,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
IA,Pleasant Hill Energy Center,7145,1,,2021,191,191.0,2800.0,,1.148,0.0585,,,5.428,0.2639,41213.4,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG2, CSSO2G1"
IA,Pleasant Hill Energy Center,7145,2,,2021,207,207.0,3267.0,,1.018,0.0516,,,6.611,0.2628,50703.6,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG2, CSSO2G1"
IA,Pleasant Hill Energy Center,7145,3,,2021,256,202.96,6772.33,,0.358,0.0068,6738.561,0.0635,9.283,0.1917,104227.162,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
NY,Wading River Facility,7146,UGT007,,2021,218,165.45,10141.38,,0.061,0.001,11048.598,0.0806,12.63,0.2323,136159.363,Diesel Oil,,Combustion turbine,,"Other,Water Injection",,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
NY,Wading River Facility,7146,UGT008,,2021,150,118.11,7237.01,,0.043,0.001,7708.795,0.0814,10.041,0.2432,95000.802,Diesel Oil,,Combustion turbine,,"Other,Water Injection",,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
NY,Wading River Facility,7146,UGT009,,2021,211,176.44,11597.78,,0.068,0.001,12164.676,0.081,24.952,0.3319,149912.693,Diesel Oil,,Combustion turbine,,"Other,Water Injection",,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
NY,Wading River Facility,7146,UGT013,CP001,2021,99,99.0,3128.0,,0.015,0.0009,3554.4,0.0809,12.837,0.5851,43885.8,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
IA,Lime Creek,7155,**1,,2021,110,87.47,1616.88,,0.024,0.0019,1871.799,0.5062,2.942,0.233,23102.635,Diesel Oil,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
IA,Lime Creek,7155,**2,,2021,71,54.51,782.17,,0.011,0.0019,865.3,0.6198,1.193,0.212,10645.182,Diesel Oil,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
OH,Woodsdale,7158,**GT1,,2021,364,289.49,10610.15,,0.092,0.0014,10421.977,0.0602,10.703,0.123,172320.305,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
OH,Woodsdale,7158,**GT2,,2021,447,361.92,13095.87,,0.126,0.0015,13032.945,0.0602,14.985,0.1401,214669.825,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
OH,Woodsdale,7158,**GT3,,2021,488,397.65,13677.46,,0.118,0.0013,13655.258,0.06,13.084,0.1063,226012.644,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
OH,Woodsdale,7158,**GT4,,2021,484,389.5,13095.86,,0.078,0.0012,13224.922,0.0596,15.946,0.1475,221655.209,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
OH,Woodsdale,7158,**GT5,,2021,329,257.81,7888.39,,0.083,0.0015,8579.854,0.0603,8.794,0.1178,141294.857,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
OH,Woodsdale,7158,**GT6,,2021,303,244.41,8244.06,,0.099,0.0016,8567.256,0.0606,8.122,0.1094,139855.991,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
WI,Concord,7159,**1,,2021,394,337.25,20790.99,,0.096,0.001,17524.506,0.0616,12.764,0.0882,282076.013,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Concord,7159,**2,,2021,549,478.2,28095.36,,0.126,0.001,23602.328,0.0609,17.286,0.0887,384485.767,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Concord,7159,**3,,2021,1067,946.08,55793.45,,0.238,0.001,45588.34,0.06,28.623,0.0748,754329.046,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Concord,7159,**4,,2021,800,708.77,42423.55,,0.184,0.001,35026.438,0.0603,23.752,0.0818,576700.513,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,South Fond Du Lac,7203,**CT1,,2021,362,315.1,13006.8,,1.071,0.0053,17073.603,0.0625,13.046,0.0818,261183.935,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,South Fond Du Lac,7203,**CT2,,2021,438,388.43,16099.31,,1.044,0.0046,19832.03,0.062,16.647,0.0938,308671.579,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,South Fond Du Lac,7203,**CT3,,2021,436,376.92,16079.52,,0.807,0.0036,18817.548,0.0612,11.998,0.0722,297758.402,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,South Fond Du Lac,7203,**CT4,,2021,415,350.26,15160.67,,0.487,0.0027,16929.854,0.0605,11.285,0.0779,274237.37,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
VA,Darbytown Combustion Turbine,7212,1,CP0,2021,120,101.03,5311.38,,3.134,0.0878,4952.9,0.0679,6.948,0.3068,72410.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Darbytown Combustion Turbine,7212,2,CP0,2021,210,183.71,10326.08,,3.412,0.0545,8965.0,0.065,12.172,0.2638,139452.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Darbytown Combustion Turbine,7212,3,CP0,2021,394,347.78,20725.77,,2.241,0.0213,16975.6,0.0611,22.183,0.2202,279705.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Darbytown Combustion Turbine,7212,4,CP0,2021,245,217.32,12359.82,,1.367,0.0238,10072.4,0.0617,13.064,0.2178,165817.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"CSNOX, CSOSG3, CSSO2G1, RGGI"
VA,Clover Power Station,7213,1,,2021,1986,1977.9,463096.74,,165.893,0.0549,505875.204,0.1029,619.576,0.224,4930532.318,Coal,,Tangentially-fired,Wet Limestone,"Selective Non-catalytic Reduction,Other","Baghouse,Wet Scrubber",,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS, RGGI"
VA,Clover Power Station,7213,2,,2021,2046,2033.83,520648.44,,160.871,0.0571,547212.903,0.103,698.8,0.2326,5333458.166,Coal,,Tangentially-fired,Wet Limestone,"Selective Non-catalytic Reduction,Other","Baghouse,Wet Scrubber",,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS, RGGI"
MI,48th Street Peaking Station,7258,**7,,2021,166,122.58,3250.24,,0.027,0.0024,2364.16,0.0598,2.151,0.1097,39602.844,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
MI,48th Street Peaking Station,7258,**8,,2021,160,113.34,2770.94,,0.029,0.0032,2094.143,0.0601,2.21,0.1291,35014.267,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
MI,48th Street Peaking Station,7258,9,,2021,986,888.22,54227.45,,0.19,0.001,37574.729,0.0591,11.632,0.0409,632261.608,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
WI,Paris,7270,**1,,2021,817,702.5,40872.74,,0.183,0.001,34924.005,0.0604,25.252,0.088,576530.663,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Paris,7270,**2,,2021,719,620.5,37242.18,,0.165,0.001,31389.042,0.0605,22.802,0.0892,516709.477,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Paris,7270,**3,,2021,662,567.85,34602.68,,0.141,0.001,28014.975,0.0592,18.765,0.0807,471290.487,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
WI,Paris,7270,**4,,2021,715,607.94,37099.1,,0.164,0.001,31011.529,0.0606,21.948,0.0867,509475.979,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
NJ,Sherman Avenue,7288,1,,2021,228,185.93,12583.46,,0.051,0.001,10106.561,0.059,6.078,0.0712,170086.324,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1, RGGI"
MO,State Line (MO),7296,1,,2021,1801,1718.08,133538.8,,3.554,0.0051,60481.586,0.0614,44.708,0.0909,958082.965,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G1"
MO,State Line (MO),7296,2-1,,2021,4529,4501.18,936534.59,,1.885,0.001,373328.607,0.059,43.675,0.0148,6282020.364,Pipeline Natural Gas,,Combined cycle,,Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
MO,State Line (MO),7296,2-2,,2021,5068,5030.11,1038290.26,,2.082,0.001,412322.615,0.059,51.176,0.016,6938126.49,Pipeline Natural Gas,,Combined cycle,,Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2, CSSO2G1"
NY,Richard M Flynn (Holtsville),7314,001,,2021,1117,1086.08,87129.22,,2.062,0.0044,64990.927,0.0596,20.989,0.0462,1084042.569,Pipeline Natural Gas,Diesel Oil,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG3, CSSO2G1, RGGI"
TX,San Jacinto Steam Electric Station,7325,SJS1,CP1,2021,6959,6946.77,466216.03,,1.972,0.001,390619.136,0.059,86.719,0.0262,6572197.272,Pipeline Natural Gas,,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSOSG2"
TX,San Jacinto Steam Electric Station,7325,SJS2,CP1,2021,5643,5630.52,377210.42,,1.521,0.001,301345.641,0.059,47.1,0.0188,5070200.007,Pipeline Natural Gas,,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSOSG2"
IN,Richmond (IN),7335,RCT1,,2021,213,181.42,5379.64,,0.021,0.001,4177.503,0.0601,4.813,0.1397,69398.937,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IN,Richmond (IN),7335,RCT2,,2021,189,160.87,4951.64,,0.019,0.001,3813.515,0.0602,3.986,0.1265,63273.962,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IN,Anderson,7336,ACT1,,2021,148,119.23,3486.47,,0.022,0.0013,2728.678,0.061,2.992,0.1355,44596.009,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IN,Anderson,7336,ACT2,,2021,135,113.99,3456.38,,0.019,0.0012,2666.688,0.0604,3.201,0.1466,43873.602,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IN,Anderson,7336,ACT3,,2021,220,192.08,11739.31,,0.061,0.0011,9456.726,0.0597,2.905,0.0369,156923.528,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IA,George Neal South,7343,4,,2021,3543,3519.13,1622945.12,,2619.242,0.3345,1562184.863,0.105,1427.694,0.1792,14895001.362,Coal,Diesel Oil,Dry bottom wall-fired boiler,Dry Lime FGD,"Low NOx Burner Technology w/ Overfire Air,Selective Non-catalytic Reduction","Baghouse,Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
IL,Interstate,7425,1,,2021,18,14.31,1032.5,,0.005,0.001,930.87,0.0768,1.481,0.2281,12080.265,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KS,McPherson Municipal Power Plant #3,7515,1,,2021,506,463.63,22993.1,,0.092,0.001,20083.672,0.0677,23.767,0.1662,285874.841,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
MO,St. Francis Power Plant,7604,1,,2021,2572,2445.85,434981.19,,1.001,0.001,198262.5,0.059,21.337,0.0164,3336129.372,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G1"
MO,St. Francis Power Plant,7604,2,,2021,2547,2412.93,431600.87,,0.959,0.001,190058.053,0.059,14.687,0.0141,3198093.643,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G1"
AL,Washington County Cogen (Olin),7697,CC1,,2021,8503,8495.0,1198096.75,,2.612,0.001,519086.975,0.059,125.13,0.0285,8734395.1,Pipeline Natural Gas,Process Gas,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,SABIC Innovative Plastics - Burkville,7698,CC1,,2021,8391,8387.25,835729.75,,1.72,0.001,340649.05,0.059,82.033,0.0287,5732121.15,Pipeline Natural Gas,Process Gas,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Plant H. Allen Franklin,7710,1A,,2021,7898,7846.0,2113228.0,,4.162,0.001,824483.375,0.059,62.503,0.0111,13873544.25,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Plant H. Allen Franklin,7710,1B,,2021,8015,7967.25,2147466.25,,4.236,0.001,839133.3,0.059,61.8,0.0103,14120034.65,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
